Nombre,Min. jugados
Chile,674.19
Sebastián Mella,0
Ignacio Sáez,0
Gabriel Maureira,0
Ian Garguez,174
Matías Pérez,1190
Nicolás Suárez,61
Felipe Faúndez,1426
Patricio Romero,1664
Milován Celis,308
Joaquín Silva,281
Lautaro Millán,1325
Agustín Arce,419
Nicolás Cárcamo,257
Mario Sandoval,358
Flavio Moya,405
Willy Chatiliez,187
Francisco Rossel,722
Francisco Marchant,640
Rodrigo Godoy,1825
Vicente Álvarez,1520
Emiliano Ramos,1396
,
Japón,813.65
Rui Araki,1170
Alexandre Pisano,1579
Keisuke Nakamura,0
Kazunari Kita,90
Rion Ichihara,2115
Keita Kosugi,3.725
Soichiro Mori,825
Harumichi Shiokawa,0
Rei Umeki,1663
Nelson Ishiwatari,1841
Yuto Ozeki,653
Ryunosuke Sato,1684
Yotaro Nakajima,1637
Kosei Ogura,90
Yumeki Yokoyama,1343
Shunsuke Saito,1308
Sora Hiraga,382
Hisatsugu Ishii,339
Hagumu Nakagawa,0
Rento Takaoka,0
Soma Kanda,364
,
Nueva Zelanda,911.95
Henry Gray,2250
Joseph Wallis,750
Josey Casa-Grande,540
Jayden Smith,449
Lukas Kelly-Heald,1356
Noah Dupont,2481
Codey Phoenix,1223
James Bulkeley,695
Ryan Watson,773
Fergus Gillion,524
Stipe Ukich,84
Finn Mckenlay,1223
Oliver Middleton,1059
Nathan Walker,795
Keegan Kelly,0
Luke Supyk,603
Gabriel Sloane-Rodrigues,548
Adama Coulibaly,1232
Xuan Loke,930
Luke Brooke-Smith,770
Troy Putt,866
,
Egipto,236.08
Abdel Monem Tamer,90
Ahmed El Menshawy,0
Ahmed Waheb,0
Moataz Mohamed,90
Ahmed Abdin,87
Abdallah Boustenji,0
Mohab Samy,22
Momen Sherif,0
Ahmed Gomma,0
Selim Telib,1016
Mohamed El Sayed,487
Amr Khaled,959
Seif El Deen Essam,0
Ahmed Wahid,0
Tebo Gabriel,2176
Mohamed Ali,0
Ahmed Sharaf,12
Omar Khedr,209
Mohamed Haitham,0
Hamed Abdallah,282
Ahmed Nayel,0
Omar Moawad,0
Yassin Atef,0
,
Ucrania,1169.05
Sviatoslav Vanivskyi,540
Vladyslav Krapyvtsov,180
Markiian Bakus,900
Vitalii Katrych,2302
Mykola Kyrychok,2059
Vladyslav Kysil,0
Daniel Vernattus,1533
Maksym Derkach,614
Oleksii Gusev,593
Maksym Melnychenko,1337
Artur Shakh,877
Daniil Vashchenko,1035
Danylo Krevsun,1163
Yaroslav Karaman,1525
Bohdan Budko,2277
Matviy Panchenko,945
Kyrylo Dihtiar,1388
Matvii Ponomarenko,1702
Hennadii Synchuk,1457
Kristian Shevchenko,202
Oleksandr Pishchur,1921
,
Corea del Sur,852.95
Gong Si-hyeon,720
Hong Seong-Min,180
Park Sang-Young,540
Ko Jong-Hyun,806
Choi Seung-Gu,1034
Bae Hyun-Seo,90
Shin Min-Ha,2200
Lee Kun-Hee,1904
Ham Sun-Woo,1966
Lim Jun-Young,1146
Son Seung-Min,1608
Kim Ho-Jin,0
Shin Sung,164
Chung Ma-Ho,1375
Choi Byung-Wook,671
Kim Jun-Ha,205
Kim Hyun-Min,474
Kim Tae-won,1412
Kim Hyeon-Oh,259
Baek Ga-On,922
Baek Min-Gyu,236
,
Paraguay,579.73
Facundo Lirussi,0
Victor Rojas,0
Leonardo Sosa,208
Matías Arguello,328
Axel Balbuena,781
Diego León,994
Lucas Quintana,2030
Diego Ramos,0
Alan Morinigo,551
Gian Paoli,0
Lucas Peralta,0
Alexis Fretes,549
Ezequiel Duarte,0
Ángel Aguayo,1338
Gabriel Aguayo,959
Santiago Puzzo,1080
Lucas Guiñazú,180
Tiago Caballero,943
Luca Kmet,166
César Miño,326
David Fernández,859
Octavio Alfonso,102
Anderson Legüizamón,560
,
Panamá,786.16
Ian Flores,0
Cecilio Burgess,855
Sean Deane,90
Joseph Jones,1638
Julio Rodríguez,1785
Luis Villarreal,950
Érick Díaz,1785
Juan Hall,1121
Martín Krug,0
Ángelo Gudiño,0
Ariel Arroyo,891
Antony Herbert,810
Samir Díaz,540
Ernesto Gómez,1406
Giovani Herbert,323
Anel Ryce,1031
Javier Arboleda,238
Gustavo Herrera,879
Rafael Mosquera,1244
Kayro Walters,0
Kevin Walder,914
Karlo Kurányi,1665
Raheen Cuello,0
Ryan Gómez,703
,
Brasil,1513.81
Otávio Costa,720
Lucas Furtado,1350
Pedro Cobra,1890
Jair Paula,1911
Iago Teodoro,1886
Gilberto Junior,2600
João Victor,815
Arthur Gabriel,2593
Bruno Alves,2390
Rayan Lucas,1986
João Cruz,1155
Gustavo Prado,747
Gabriel Moscardo,256
Leandrinho,652
Igor Schlemper,864
Rafael Coutinho,2633
Isaque,713
Matheus Alves,1451
Lucas Ferreira,2005
Murilo Rhikman,1690
Erick Machado,2268
Pedro Henrique,2036
Nathan Fernandes,546
Luighi Hanri,1153
Kaique Kenji,1540
Luca Meirelles,1509
,
México,177.48
Juan Liceaga,1710
Emmanuel Ochoa,1350
Pablo Lara,1710
Diego Ochoa,2161
César Bustos,2146
José Pachuca,1617
Everardo López,1629
Obed Vargas,3380
Elías Montiel,3410
Iker Fimbres,2248
Gilberto Mora,1678
Karol Velázquez,1972
Hugo Camberos,2158
César Garza,848
Amaury Morales,2251
Juan Uribe,1979
Alexéi Domínguez,1691
Ángel Chavez,1535
Tahiel Jiménez,1226
Jonathan Padilla,1224
Oswaldo Virgen,1766
Diego Sánchez,756
Mateo Levy,437
,
España,1498.76
Fran González,270
Vicent Abril,1800
Raúl Jiménez,90
Jon Martín,1335
Pau Navarro,1317
