nombre	min_jugados	
		
		
		
Italia		
Jacopo Seghetti	 0,00	
Alessandro Nunziante	2.746,00	
Lapo Siviero	1.574,00	
Wisdom Amey	 75,00	
Christian Corradi	990,00	
Mattia Mannini	1.388,00	
Fellipe Jack	890,00	
Andrea Natali	2.103,00	
Cristian Cama	1.594,00	
Emanuel Benjamín	421,00	
Alessandro Berretta	3.089,00	
Jacopo Sardo	1.573,00	
Lorenzo Riccio	2.203,00	
Javison Idele	2.026,00	
Emanuele Sala	2.696,00	
Okoro Obinna	1.903,00	
Marco Romano	1.146,00	
Mattia Liberali	2.513,00	
Ismael Konaté	1.116,00	
Mattia Mosconi	1.913,00	
		
Australia		
Steven Hall	780,00	
Alex Robinson	96,00	
Daniel Graskoski	900,00	
Panagiotis Kikianis	600,00	
Joshua Inserra	506,00	
Sebastian Esposito	576,00	
James Overy	256,00	
Zach Lisolajski	329,00	
Liam Bonetig	0,00	
Lucas Herrington	212,00	
Jonny Yull	464,00	
Alexander Badolato	849,00	
Rhys Youlley	235,00	
Jaylan Pearman	464,00	
Fabian Talladira	1.810,00	
Paul Okon	892,00	
Louis Agosti	240,00	
Max Caputo	1.223,00	
Luka Jovanovic	2.131,00	
Musa Toure	811,00	
Daniel Bennie	724,00	
Nathan Amanatidis	607,00	
Tiago Quintal	1.237,00	
		
Argentina		
Santino Barbi	270,00	
Álvaro Busso	0,00	
Alain Gómez	0,00	
Santiago Fernández	1.161,00	
Dylan Gorosito	592,00	
Tobías Palacio	420,00	
Valente Pierani	303,00	
Teo Rodríguez	238,00	
Juan Villalba	431,00	
Valentino Acuña	700,00	
Tomás Pérez	1.368,00	
Milton Delgado	826,00	
Alejo Sarco	196,00	
Ian Subiabre	544,00	
Maher Carrizo	836,00	
Santino Andino	1.313,00	
		
Estados Unidos		
Duran Ferree	270,00	
Adam Beaudry	1.770,00	
Diego Kochen	1.440,00	
Joshua Wynder	2.449,00	
Noah Cobb	2.263,00	
Matai Akinmboni	809,00	
Nolan Norris	2.380,00	
Ethan Kohler	108,00	
Francis Westfield	1.715,00	
Luca Bombino	1.860,00	
Reed Baker-Whiting	1.358,00	
Luke Brennan	1.290,00	
Matthew Corcoran	401,00	
Brooklyn Raines	1.656,00	
Niko Tsakiris	2.060,00	
Benjamin Cremaschi	1.830,00	
Taha Habroune	1.016,00	
David Vazquez	2.104,00	
Pedro Soma	2.167,00	
Serge Ngoma	185,00	
Zavier Gozo	1.509,00	
Cole Campbell	988,00	
Marcos Zambrano-Delgado	420,00	
		
Sudáfrica		
Fletcher Lowe	718,00	
Takalani Mazhamba	0,00	
Kgoleng Ratisani	0,00	
Asekho Tiwani	949,00	
Neo Rapoo	1.517,00	
Siviwe Nkwali	810,00	
Tylon Smith	0,00	
Thato Sibiya	0,00	
Sfiso Timba	584,00	
Shakeel April	480,00	
Mfundo Vilakazi	802,00	
Siviwe Magidigidi	636,00	
Kutlwano Letlhaku	474,00	
Patrick Autata	89,00	
Gomolemo Kekana	0,00	
Lazola Maku	630,00	
Siyabonga Mabena	73,00	
Luke Baartman	429,00	
Thabang Mahlangu	93,00	
Ahshene Jody Lee	602,00	
Langelihle Phili	1.168,00	
		
Francia		
