País,Pro. de minutos,Continente,Pro. de edad,Goles a Favor,Goles en Contra,Dif. de gol,Fase Llegada
Chile,674.19,America,19.52,3,5,-2,Octavos de Final
Japón,813.65,Asia,19.42,7,0,7,Octavos de Final
Nueva Zelanda,911.95,Oceanía ,18.9,3,6,-3,Fase de Grupos
Egipto,236.08,África ,19.52,3,5,-2,Fase de Grupos
Ucrania,"1,169.05",Europa,19.47,5,3,2,Octavos de Final
Corea del Sur,852.95,Asia,19.71,3,3,0,Octavos de Final
Paraguay,579.73,America,19.3,4,4,0,Octavos de Final
Panamá,786.16,America,19.45,4,6,-2,Fase de Grupos
Brasil,"1,513.81",America,19.46,3,5,-2,Fase de Grupos
México,177.48,America,19.3,5,4,1,Cuartos de Final
España,"1,498.76",Europa,19.38,3,4,-1,Cuartos de Final
Marruecos,935.09,África ,19.47,4,2,2,Campeón
Italia,"1,597.95",Europa,18.7,3,3,0,Octavos de Final
Australia,693.13,Oceanía ,19.22,4,6,-2,Fase de Grupos
Argentina,574.87,America,18.89,8,2,6,Final
Estados Unidos,"1,393.39",America,19.13,13,3,10,Cuartos de Final
Sudáfrica,478.76,África ,19.19,8,3,5,Octavos de Final
Francia,"1,150.88",Europa,19.33,8,4,4,Semi-Final
Colombia,768.54,America,19.68,2,1,1,Semi-Final
Nigeria,619.09,África ,19.04,4,4,0,Octavos de Final
Noruega,"1,165.85",Europa,19.25,2,1,1,Cuartos de Final
