nombre,min_jugados,país,posición,edad
Sebastián Mella,0.00,Chile,Arquero,20
Ignacio Sáez,0.00,Chile,Arquero,20
Gabriel Maureira,0.00,Chile,Arquero,18
Ian Garguez,174.00,Chile,Defensa,20
Matías Pérez,1190.00,Chile,Defensa,20
Nicolás Suárez,61.00,Chile,Defensa,20
Felipe Faúndez,1426.00,Chile,Defensa,19
Patricio Romero,1664.00,Chile,Defensa,20
Milován Celis,308.00,Chile,Defensa,19
Joaquín Silva,281.00,Chile,Mediocampista,20
Lautaro Millán,1325.00,Chile,Mediocampista,20
Agustín Arce,419.00,Chile,Mediocampista,20
Nicolás Cárcamo,257.00,Chile,Mediocampista,20
Mario Sandoval,358.00,Chile,Mediocampista,18
Flavio Moya,405.00,Chile,Mediocampista,19
Willy Chatiliez,187.00,Chile,Delantero,20
Francisco Rossel,722.00,Chile,Delantero,20
Francisco Marchant,640.00,Chile,Delantero,19
Rodrigo Godoy,1825.00,Chile,Delantero,20
Vicente Álvarez,1520.00,Chile,Delantero,18
Emiliano Ramos,1396.00,Chile,Delantero,20
Rui Araki,1170.00,Japón,Arquero,18
Alexandre Pisano,1579.00,Japón,Arquero,19
Keisuke Nakamura,0.00,Japón,Arquero,20
Kazunari Kita,90.00,Japón,Defensa,20
Rion Ichihara,2115.00,Japón,Defensa,20
Keita Kosugi,3.73,Japón,Defensa,19
Soichiro Mori,825.00,Japón,Defensa,18
Harumichi Shiokawa,0.00,Japón,Defensa,20
Rei Umeki,1663.00,Japón,Defensa,20
Nelson Ishiwatari,1841.00,Japón,Mediocampista,20
Yuto Ozeki,653.00,Japón,Mediocampista,19
Ryunosuke Sato,1684.00,Japón,Mediocampista,19
Yotaro Nakajima,1637.00,Japón,Mediocampista,20
Kosei Ogura,90.00,Japón,Mediocampista,20
Yumeki Yokoyama,1343.00,Japón,Mediocampista,20
Shunsuke Saito,1308.00,Japón,Mediocampista,20
Sora Hiraga,382.00,Japón,Delantero,20
Hisatsugu Ishii,339.00,Japón,Delantero,20
Hagumu Nakagawa,0.00,Japón,Delantero,18
Rento Takaoka,0.00,Japón,Delantero,19
Soma Kanda,364.00,Japón,Delantero,19
